,Receita,Ingredientes
0,Massa de Pizza,"[""' farinha trigo '"", ""' água '"", ""' fermento biológico fresco '"", ""' óleo soja '"", ""'sal '"", ""' açúcar '""]"
1,Receita de Bolo de Cenoura,"[""' sal '"", ""' cenoura '"", ""' óleo soja '"", ""' fermento químico pó '"", ""' farinha trigo '"", ""' açúcar '"", ""' ovo '"", ""' sal '"", ""' amido milho '"", ""' cacau pó '"", ""' leite '"", ""' açúcar '""]"
2,Bolo de Chocolate Molhadinho,"[""' leite '"", ""' ovo '"", ""' margarina '"", ""' açúcar '"", ""' chocolate pó '"", ""' farinha trigo '"", ""' fermento químico pó '"", ""' leite condensado '"", ""' amido milho '"", ""' chocolate pó '"", ""' leite '"", ""' margarina '"", ""'chocolate granulado '""]"
3,Como Fazer Bolinho de Chuva,"[""' fermento químico pó '"", ""' farinha trigo '"", ""' ovo '"", ""' leite '"", ""' açúcar '""]"
4,Bolo de Fubá,"[""' fubá '"", ""' farinha trigo '"", ""' óleo milho '"", ""' leite '"", ""' açúcar '"", ""' ovo '"", ""' fermento químico pó '""]"
5,Bolo de Milho,"[""' milho conserva '"", ""' ovo '"", ""' fubá '"", ""' açúcar '"", ""' leite '"", ""' óleo milho '"", ""' fermento químico pó '""]"
6,Fricassê de Frango,"[""' peito frango '"", ""' óleo soja '"", ""'sal '"", ""'pimenta reino branca '"", ""' cebola '"", ""' alho '"", ""' molho tomate '"", ""' milho conserva '"", ""' creme leite soro '"", ""' batata palha '"", ""' mussarela fatiada '""]"
7,Bolo de Aniversário,"[""' ovo '"", ""' açúcar '"", ""' farinha trigo '"", ""' leite '"", ""' manteiga '"", ""' fermento químico pó '"", ""' essência baunilha '"", ""' leite condensado '"", ""' creme leite '"", ""' manteiga '""]"
8,Bolo de Banana,"[""' banana nanica '"", ""' ovo '"", ""' farinha trigo '"", ""' amido milho '"", ""' óleo soja '"", ""' fermento químico pó '"", ""' açúcar '""]"
9,Panquecas,"[""' farinha trigo '"", ""' leite '"", ""' amido milho '"", ""' ovo '"", ""'sal '"", ""' óleo soja '"", ""' queijo ralado '"", ""' frango '"", ""' cebola picadinha '"", ""' alho picadinho '"", ""' tomate picadinho pele semente '"", ""' azeite '"", ""' salsinha '"", ""'pimenta reino grãos moída '"", ""'sal '"", ""' milho conserva '"", ""' ervilha '"", ""' requeijão '""]"
10,Pudim de Leite Condensado,"[""' ovo '"", ""' leite condensado '"", ""' leite '"", ""' açúcar '""]"
11,Torta de Liquidificador,"[""' óleo soja '"", ""' farinha trigo '"", ""' fermento químico pó '"", ""' leite '"", ""' ovo '"", ""' óleo girassol '"", ""' cebola '"", ""' alho '"", ""' seleta legume '"", ""' peito frango '"", ""' salsinha '"", ""' sal '""]"
12,Cuscuz Paulista,"[""' farinha milho amarela '"", ""' milho conserva '"", ""' sardinha '"", ""' caldo legume '"", ""' azeitona verde '"", ""' molho tomate '"", ""' óleo milho '"", ""' molho pimenta '"", ""' salsa desidratada '"", ""' cebola desidratada '"", ""' ervilha '"", ""' vidro palmito '"", ""' pimentão vermelho '"", ""' pimentão verde '""]"
13,Pãozinho de Cenoura,"[""' cenoura grande '"", ""' ovo '"", ""' margarina '"", ""' açúcar '"", ""' sal '"", ""' óleo girassol '"", ""' água morna '"", ""' fermento biológico pó '"", ""' farinha trigo '""]"
14,Pão Integral Caseiro com Aveia e Linhaça,"[""' água morna '"", ""' fermento biológico fresco '"", ""' óleo girassol '"", ""' sal '"", ""' açúcar mascavo '"", ""' aveia '"", ""' german trigo '"", ""' sementes linhaça '"", ""' farinha integral '"", ""' farinha trigo ( aproximadamente"", ""dar ponto ) '""]"
15,Pão Estrela de Nutella,"[""' ovo '"", ""' açúcar '"", ""' fermento biológico fresco fermento seco '"", ""' óleo girassol '"", ""' leite '"", ""' farinha trigo '"", ""' sal '"", ""' pote creme avelãs '""]"
16,Bolo Prestígio Econômico,"[""' ovo '"", ""' farinha trigo '"", ""' açúcar '"", ""' leite '"", ""' chocolate pó '"", ""' fermento químico pó '"", ""' óleo milho '"", ""' leite condensado '"", ""' coco ralado '"", ""' leite '"", ""' leite condensado '"", ""' chocolate pó '"", ""' margarina '""]"
17,Muffin de Maçã,"[""' maçã casca '"", ""'suco limão '"", ""' farinha trigo '"", ""' fermento químico pó '"", ""' sal '"", ""' canela china pó '"", ""' noz moscada '"", ""' bicarbonato sódio '"", ""' pote iogurte desnatado '"", ""' ovo batido '"", ""' manteiga '"", ""' amido milho '"", ""' uva passa '"", ""' laranja '"", ""'margarina untar '"", ""'farinha trigo '""]"
18,Bolo de Cenoura Fofinho com Cobertura,"[""' amido milho '"", ""' açúcar '"", ""' farinha trigo '"", ""' ovo '"", ""' óleo milho '"", ""' cenoura ralada '"", ""' fermento químico pó '"", ""' licor cacau '"", ""' chocolate pó '"", ""' manteiga sal '"", ""' água '"", ""' açúcar '""]"
19,Torta de Rúcula e Tomate Seco,"[""' fermento químico pó '"", ""' ovo '"", ""' leite '"", ""' cebola '"", ""' farinha trigo '"", ""' queijo ralado '"", ""'sal '"", ""'pimenta reino branca '"", ""' manteiga '"", ""' tomate seco '"", ""' alecrim '"", ""' rúcula '""]"
20,Quiche de Salmão com Brócolis,"[""' farinha trigo '"", ""' sal '"", ""' manteiga sal gelada '"", ""' gema ovo '"", ""' água gelada '"", ""' ovo '"", ""' creme leite '"", ""' ricota '"", ""' salmão '"", ""' brócolis '"", ""'sal pimenta reino '""]"
21,Empadão de Massa Podre Delicioso e Fácil,"[""' farinha trigo '"", ""' gema ovo '"", ""' óleo girassol '"", ""'margarina dar liga '"", ""'sal '"", ""' cebola '"", ""' alho picados '"", ""' polpa tomate '"", ""' leite '"", ""' amido milho cheias '"", ""' sal marinho '"", ""'azeitona verde '"", ""'palmito"", ""camarão frango '"", ""'requeijão culinário '""]"
22,Crepe de Nutella,"[""' farinha trigo '"", ""' ovo '"", ""' leite '"", ""' sal '"", ""' açúcar '"", ""' óleo soja '"", ""' creme avelãs '"", ""' morango picados '"", ""' sorvete creme '"", ""' calda chocolate '"", ""' amêndoas trituradas '""]"
23,Torta Trufada de Leite Ninho,"[""' biscoito maisena triturado '"", ""' manteiga '"", ""' leite condensado '"", ""' manteiga '"", ""' leite pó '"", ""' chocolate meio amargo '"", ""' creme leite '"", ""' rum '"", ""'chocolate meio amargo '""]"
24,Gelado de Oreo,"[""' biscoito chocolate recheio baunilha oreo '"", ""' leite condensado '"", ""' creme leite '"", ""' cacau pó '"", ""' clara ovo neve '""]"
25,Cebola Empanada,"[""' leite '"", ""' farinha rosca '"", ""' farinha trigo '"", ""'sal temperos preferência '"", ""' cebola '"", ""'óleo milho '""]"
26,Massa de Coxinha Rápida,"[""' água '"", ""' óleo soja '"", ""' caldo galinha '"", ""' farinha trigo '""]"
27,Hambúrguer de Linguiça,"[""'sal pimenta '"", ""' ovo '"", ""' pão branco embebido leite '"", ""' linguiça toscana '"", ""' salsinha '"", ""' pimentão vermelho '"", ""' cebola picadinha '"", ""' azeite '"", ""' vinagre branco '"", ""'sal pimenta '"", ""'cerveja eisenbahn puro malte american ipa '""]"
28,Suflê de Batata com Queijos,"[""' batata '"", ""' leite '"", ""' fermento químico pó '"", ""' gorgonzola esfarelado '"", ""' parmesão ralado '"", ""' queijo mina padrão ralado '"", ""'manjericão '"", ""'sal pimenta '"", ""' clara ovo batida neve '""]"
29,Salada de Macarrão,"[""' maionese '"", ""' presunto '"", ""' azeite '"", ""' farfalle '"", ""'sal '"", ""'salsinha '"", ""'cebolinha verde '""]"
30,Tomate Recheado com Ricota,"[""' tomate maduro '"", ""'queijo ralado '"", ""' ricota '"", ""' alho '"", ""' azeite extra virgem '"", ""' castanha caju '"", ""'queijo ralado '""]"
31,Geleia de Morangos,"[""' açúcar cristal '"", ""' morango '"", ""'limão '""]"
32,Doce de Leite Argentino,"[""' leite '"", ""' açúcar '"", ""' bicarbonato sódio '"", ""' fava baunilha '""]"
33,Doce de Abóbora com Coco,"[""' abóbora moranga '"", ""' açúcar '"", ""' coco ralado '"", ""' cravo índia '"", ""' canela pau '""]"
34,Chips de Provolone,"[""' provolone '"", ""' orégano '"", ""' sal '"", ""' cúrcuma pó '""]"
35,Chips de Banana-da-terra,"[""'óleo girassol fritar '"", ""' banana terra verde '"", ""'flor sal '""]"
36,Chips de Abobrinha ao Forno,"[""' farinha rosca '"", ""' queijo ralado '"", ""' sal '"", ""' pimenta reino grãos '"", ""' abobrinha '"", ""' ovo batido '""]"
37,Nhoque de Batata Doce,"[""' batata doce '"", ""' ovo '"", ""' farinha trigo '""]"
38,Panqueca,"[""' farinha trigo '"", ""' leite '"", ""' ovo '"", ""'sal '"", ""' óleo soja '"", ""' tomate '"", ""' mussarela '"", ""' presunto '"", ""' ervilha '"", ""' creme leite '"", ""'sal '"", ""'pimenta reino branca '""]"
39,Massa com Espinafre,"[""' farfalle '"", ""' espinafre '"", ""' parmesão '"", ""' creme leite '"", ""' manteiga '"", ""'noz moscada '"", ""'sal '""]"
40,Tiramissú Rápido,"[""' café '"", ""' rum '"", ""' biscoito champagne '"", ""' cream cheese '"", ""' açúcar '"", ""' clara ovo batidas neve '"", ""'chocolate pó '"", ""'chocolate hidrogenado '""]"
41,Tortinha de Morango,"[""' farinha trigo especial '"", ""' açúcar '"", ""' margarina '"", ""' gema ovo '"", ""' essência baunilha '"", ""' morango '"", ""' leite condensado '"", ""' leite '"", ""' amido milho '"", ""' margarina '""]"
42,Torta Cremosa de Amendoim e Chocolate,"[""' biscoito maisena '"", ""' amendoim tostado casca '"", ""' margarina '"", ""' chocolate leite '"", ""' leite condensado '"", ""' leite '"", ""' ovo '"", ""' amendoim tostado casca '""]"
43,Molho Pesto,"[""' pinolis '"", ""' alho '"", ""' manjericão '"", ""' parmesão '"", ""' azeite extra virgem '"", ""' sal '""]"
44,Molho Bolonhesa Vegetariano,"[""' hamburguer vegetal mix jasmine moído '"", ""' polpa tomate '"", ""'sal '"", ""' açúcar '"", ""' orégano seco '"", ""'pimenta reino grãos moída '"", ""' cebola '"", ""' alho picados '"", ""'azeite '""]"
45,Bauru de Assadeira,"[""'margarina farinha trigo untar '"", ""' margarina '"", ""' farinha trigo '"", ""' óleo soja '"", ""' ovo '"", ""' sal '"", ""' açúcar '"", ""' fermento biológico fresco '"", ""' leite '"", ""' mussarela '"", ""' presunto '"", ""' tomate '"", ""' cebola '"", ""' vinagre branco '"", ""'salsinha cebolinha '"", ""' gema ovo '""]"
46,Esfiha Aberta de Carne,"[""' fermento biológico fresco '"", ""' água '"", ""' óleo soja '"", ""' farinha trigo '"", ""' sal '"", ""' açúcar '"", ""' cebola '"", ""' patinho '"", ""' limão '"", ""'pimenta síria '"", ""' tomate '"", ""'sal '"", ""'cheiro verde '""]"
47,Receita de Bolo de Chocolate,"[""' farinha trigo '"", ""' fermento químico pó '"", ""' açúcar '"", ""' chocolate pó '"", ""' margarina derretida '"", ""' ovo '"", ""' leite '"", ""' essência baunilha '"", ""' margarina '"", ""'sal '"", ""' água '"", ""' amido milho '"", ""' chocolate pó '"", ""' açúcar '""]"
48,Bolo de Chocolate Simples,"[""' leite '"", ""' óleo soja '"", ""' ovo '"", ""' farinha trigo '"", ""' achocolatado pó '"", ""' açúcar '"", ""' fermento químico pó '"", ""' manteiga '"", ""' achocolatado pó '"", ""' açúcar '"", ""' leite '""]"
49,Pão Caseiro,"[""' água '"", ""' farinha trigo '"", ""' ovo '"", ""' fermento biológico fresco '"", ""' manteiga '"", ""' açúcar '"", ""' sal '""]"
